source_key,category,item,text_stim
AI,Outer Space,sun,"The sun is a giant, fiery ball in the sky. It gives us light and warmth every day. It's so big that the Earth goes around it!"
AI,Seasons,winter,"Winter is a cold season with snowflakes and frosty air. We wear warm clothes, build snowmen, and drink hot cocoa. It's a fun, chilly time of year!"
human,Transportation,boats,Boats are less dense than water. Their weight is spread out. This allows them to float. Boats need force to move. Sailing ships use wind to move. 
human,Seasons,snow,Snow is a form of water that falls to the ground as white flakes. Snow forms when water turns into water vapor and rises into the sky. 
AI,jobs,teachers,"Teachers help us learn new things every day. They teach us to read, write, and solve problems. Teachers make school fun and exciting, guiding us like friendly helpers."
AI,jobs,chefs,"Chefs cook delicious meals in restaurants and kitchens. They mix ingredients to make tasty dishes. Chefs are like artists, but with food, making sure we enjoy every bite!"
AI,Transportation,trains,"Trains chug-chug along the tracks, carrying passengers and goods to faraway places. They whistle and toot, racing through tunnels and over bridges. All aboard for an exciting adventure!"
human,animals,animals that change color,"Some animals can change color, almost like magic. It can happen in an instant. Or it can take years. Sometrimes the change is dramatic. Other times, it's gradual."
human,jobs,scientist,Climate scientists study Earth's weather over time. They collect and study data from around the world. Their work teaches people about weather. It also teaches about climate change.
AI,Transportation,mail truck,"Mail trucks deliver letters and packages to our homes. They drive around the neighborhood, bringing us surprises and important messages. The mail truck is like a special delivery friend!"
AI,animals,farm animals,"Farm animals, like cows, chickens, and pigs, live on farms. They give us milk, eggs, and meat. These friendly animals help farmers and make the farm a lively place."
AI,jobs,doctors,"Doctors help keep us healthy. They check if we are feeling well, give us medicine, and fix our boo-boos. Doctors are like superheroes who take care of our bodies."
human,animals,reef,"The shallow ocean waters look calm. But under the surface, a coral reef is a busy place. Hundreds, even thousands of different creatures swim and hide along the reef."
human,Seasons,spring,"Peep! Peepers chirp and duckling quack. Bunnies nibble new grass. The early morning air is cool. It smells like rain, earth, and blossoms. This is Spring! Spring follows winter."
AI,animals,pigeons,Pigeons are birds with grey feathers that live in cities. They can fly and often gather in parks. Pigeons peck at crumbs on the ground and make soft cooing sounds
AI,Transportation,planes,"Planes soar high in the sky, like colorful birds with shiny wings. They take us on journeys to new lands, where we can look down and see fluffy clouds below."
human,Outer Space,stars,"At night, the sky is full of twinkling points of light. Most of them are stars like the Sun. They look smaller than the Sun because they are further away."
human,Outer Space,jupiter,"Jupiter is the fifth planet from the Sun. More than 1,000 Earths could fit inside Jupiter. Jupiter is a giant ball of mostly gases and liquids. It's covered with stripes."
human,Seasons,fall,Fall comes after summer. Fall is a season of change. The sun goes down earlier every day. The air turns cool and crisp. Frost covers the ground on cold mornings.
AI,Outer Space,comets,"Comets are icy rocks that zoom through space with long tails made of dust and gas. They sparkle like shooting stars when they pass by Earth, making the night sky magical."
human,jobs,builder,"Builders like putting things together. Builders are also called construction workers. They work as a team. They build houses, apartment buildings and office buildings. Some builders work high above the ground."
human,Seasons,summer,"Our summer months are June, July, and August. The sun rises early in the morning and sets late every evening. This makes the days light and warm. Summer can be HOT!"
human,anmials,monkeys,Monkeys are primates. They live in tropical forests. People see monkeys at the zoo. Monkeys at the zoo live in a pen. They have trees and water. They play with toys. 
AI,Seasons,beach,"Summer at the beach is fun! We build sandcastles, splash in the waves, and collect pretty seashells. The sun is warm, and we can play all day in the sand and water."
AI,Transportation,roads,"Roads are like paths for cars and bikes, winding through towns and countryside. We walk along them, holding hands, and sometimes ride our scooters or skateboards, feeling the breeze as we go."
human,animals,baby animals,"Some baby animals are called mammals. They drink milk from their mother. Bears, cheetahs, and whales are mammals. So are humans. All baby animals have to eat to grow, just like you."
human,Outer Space,mars,Mars is a planet. Planets orbit stars. Planets in our solar system orbit the sun. Mars is the fourth planet from the sun. It is about 142 million miles from the sun.
human,Outer Space,earth,"Earth is the only planet that has water on its surface. If Earth were closer to the sun, the oceans would boil aways. If it were farther away, the oceans would freeze."
AI,jobs,plumber,"Plumbers fix pipes and water leaks in our homes. They make sure sinks, toilets, and showers work properly. Plumbers are like water superheroes, helping us have clean water and keeping everything running smoothly."
AI,Outer Space,moon,"The moon is a magical night friend that changes shape every night. Sometimes it's a big, round circle, other times just a tiny sliver. It lights up the sky and makes bedtime special."
AI,animals,butterflies,"Butterflies are colorful insects with big, beautiful wings. They start as caterpillars and change into butterflies. They love to visit flowers and sip nectar, making gardens look magical and pretty as they flutter around."
human,Transportation,bicycle,"A bicycle is a two-wheeled vehicle that gets its power when the rider pushes the pedals around in a circle. The word bicycle means ""two-wheel"". Bi means ""two"" and cycle means ""wheel or circle."""
